Customer ID,Order ID,Product ID,Order Priority,Ship Mode,Ship Date,Quantity,Profit,Order Date,Location Id,Discount,Sales,Shipping Cost
AA-10315102,ID-2016-AA10315102-41093,OFF-LA-3322,High,First Class,06-07-2016,7,-4.2105,03-07-2016,PhiliNatioMarikina,0.45,54.97875,6.91
AA-10315102,ID-2016-AA10315102-41093,OFF-SU-4132,High,First Class,06-07-2016,2,-23.529,03-07-2016,PhiliNatioMarikina,0.45,69.378,1.77
AA-10315102,ID-2016-AA10315102-41093,OFF-SU-4327,High,First Class,06-07-2016,13,-141.96,03-07-2016,PhiliNatioMarikina,0.45,312.2366667,30.01
AA-10315102,ID-2016-AA10315102-41093,TEC-AC-5889,High,First Class,06-07-2016,1,-8.532,03-07-2016,PhiliNatioMarikina,0.45,30.41,6.66
AA-103151404,CA-2016-AA10315140-40998,OFF-AP-4242,Medium,Standard Class,04-04-2016,2,14.8344,30-03-2016,UniteCalifSan Francisco,0,55.29666667,3.17
AA-103151404,CA-2016-AA10315140-40998,OFF-BI-4337,Medium,Standard Class,04-04-2016,2,252.588,30-03-2016,UniteCalifSan Francisco,0.2,673.568,54.96
AA-103151406,CA-2016-AA10315140-41166,FUR-FU-5174,Medium,Standard Class,19-09-2016,2,6.2608,14-09-2016,UniteNew YNew York City,0,17.23,1.31
AA-103151406,CA-2016-AA10315140-41166,OFF-FA-6129,Medium,Standard Class,19-09-2016,3,7.0218,14-09-2016,UniteNew YNew York City,0,192.095,1.99
AA-1031582,MX-2016-AA1031582-41236,OFF-BI-4808,High,Second Class,25-11-2016,5,3.5,23-11-2016,MexicDistrMexico City,0,86.826,4.949
AA-1031582,MX-2016-AA1031582-41236,OFF-BI-4818,High,Second Class,25-11-2016,5,56.9,23-11-2016,MexicDistrMexico City,0,334.689,5.211
AA-1031582,MX-2016-AA1031582-41236,OFF-BI-6399,High,Second Class,25-11-2016,3,3.66,23-11-2016,MexicDistrMexico City,0,22.732,2.058
AA-1031582,MX-2016-AA1031582-41236,TEC-PH-5812,High,Second Class,25-11-2016,3,152.7,23-11-2016,MexicDistrMexico City,0,558.237,44.688
AA-103751404,CA-2016-AA10375140-41019,OFF-BI-2938,Medium,Standard Class,24-04-2016,5,5.5755,20-04-2016,UniteCalifLos Angeles,0.2,18.90555556,1.97
AA-103751404,CA-2016-AA10375140-41205,OFF-BI-3306,Medium,Standard Class,28-10-2016,3,11.1384,23-10-2016,UniteCalifRancho Cucamonga,0.2,39.252,2.06
AA-1037592,IN-2016-AA1037592-41188,FUR-BO-4851,Low,Standard Class,12-10-2016,1,86.46,06-10-2016,New ZWelliPorirua,0,497.23,44.82
AA-1037592,IN-2016-AA1037592-41188,OFF-PA-4463,Low,Standard Class,12-10-2016,6,2.88,06-10-2016,New ZWelliPorirua,0,307.95,34.74
AA-10480139,ES-2016-AA10480139-41250,OFF-ST-6248,High,Same Day,07-12-2016,1,63.24,07-12-2016,UniteEnglaHarrow,0,165.0684127,11.29
AA-10480139,ES-2016-AA10480139-41250,TEC-CO-3594,High,Same Day,07-12-2016,1,47.85,07-12-2016,UniteEnglaHarrow,0,204.7230108,25.81
AA-104801406,CA-2016-AA10480140-41032,FUR-FU-3924,High,Same Day,03-05-2016,2,9.8856,03-05-2016,UniteConneMiddletown,0,27.46,6.23
AA-1048045,ES-2016-AA1048045-41213,OFF-ST-5695,High,Standard Class,05-11-2016,4,4.932,31-10-2016,FrancLanguCastres,0.1,129.88,11.42
AA-1048045,ES-2016-AA1048045-41215,OFF-ST-4031,Medium,Second Class,06-11-2016,3,6.111,02-11-2016,FrancAuverLyon,0.1,36.191,2.41
AA-1048059,IN-2016-AA1048059-41083,TEC-PH-5839,Medium,Standard Class,27-06-2016,3,364.23,23-06-2016,IndonJakarJakarta,0.17,1766.31845,179.38
AA-10645139,IT-2016-AA10645139-41216,OFF-EN-4914,High,Second Class,08-11-2016,7,-75.705,03-11-2016,UniteEnglaBirmingham,0.5,142.2016667,11.81
AA-10645139,IT-2016-AA10645139-41216,OFF-FA-5483,High,Second Class,08-11-2016,3,-3.15,03-11-2016,UniteEnglaBirmingham,0.5,20.67,3.27
AA-106451406,CA-2016-AA10645140-41081,FUR-CH-4650,High,Standard Class,26-06-2016,5,0,21-06-2016,UnitePennsChester,0.3,1027.73625,88.3
